PK_CALZADA,ACCIDENTES
509389.0,5
91032936.0,5
364361.0,5
24120082.0,5
506738.0,5
91030959.0,5
515846.0,5
91028956.0,5
91011731.0,5
91032887.0,5
522121.0,5
24121576.0,5
91032104.0,5
173701.0,5
361914.0,5
514633.0,5
91010020.0,5
352867.0,5
471920.0,5
91012725.0,5
291729.0,5
533709.0,5
91033849.0,5
515660.0,5
91030163.0,5
172060.0,5
24123389.0,5
511834.0,5
91026643.0,5
91012602.0,5
24120178.0,5
411307.0,5
163996.0,5
91027298.0,5
24121441.0,5
604784.0,5
175841.0,5
511929.0,5
201609.0,5
91033058.0,5
187127.0,5
444696.0,5
157403.0,5
520924.0,5
444726.0,5
512595.0,5
518085.0,5
91020285.0,5
385212.0,5
173602.0,5
91012673.0,5
139761.0,5
528174.0,5
91014103.0,5
91026019.0,5
601602.0,5
145493.0,5
24120845.0,5
531121.0,5
147463.0,5
176242.0,5
504860.0,5
521368.0,5
91011332.0,5
504153.0,5
91024155.0,5
24119633.0,5
156629.0,5
91030080.0,5
323148.0,5
91020178.0,5
354115.0,5
440063.0,5
511610.0,5
151291.0,5
91028926.0,5
510826.0,5
187678.0,5
510520.0,5
361971.0,5
91012370.0,5
354915.0,5
91035080.0,5
91064415.0,5
154499.0,5
515519.0,5
91027052.0,5
91011730.0,5
522747.0,5
91026926.0,5
91034031.0,5
24122024.0,5
24124301.0,5
91027070.0,5
513273.0,5
514263.0,5
91030346.0,5
182554.0,5
604929.0,5
471677.0,5
422107.0,5
91025383.0,5
91062416.0,5
174144.0,5
512640.0,5
91014039.0,5
359181.0,5
91024194.0,5
91063537.0,5
324064.0,5
91033842.0,5
364853.0,5
351998.0,5
24122314.0,5
370313.0,5
91016845.0,5
91022991.0,5
352822.0,5
175844.0,5
91062419.0,5
91025886.0,5
91013288.0,5
186165.0,5
151970.0,5
512598.0,5
510377.0,5
532055.0,5
351552.0,5
900162.0,5
145972.0,5
157916.0,5
511327.0,5
24180765.0,5
182856.0,5
91018897.0,5
515730.0,5
526872.0,5
22142768.0,4
91064010.0,4
200212.0,4
198730.0,4
8471.0,4
269658.0,4
272331.0,4
15758.0,4
20597.0,4
200396.0,4
91012697.0,4
218403.0,4
20438.0,4
50016417.0,4
517900.0,4
33215.0,4
170406.0,4
50015482.0,4
91012708.0,4
7139.0,4
17635.0,4
91010167.0,4
41970.0,4
169.0,4
213612.0,4
229821.0,4
212673.0,4
532053.0,4
66201.0,4
50013104.0,4
9863.0,4
214694.0,4
50015410.0,4
91010233.0,4
50012733.0,4
414943.0,4
91018326.0,4
212557.0,4
214617.0,4
134285.0,4
50015024.0,4
66252.0,4
91013951.0,4
24121568.0,4
387539.0,4
603315.0,4
91063019.0,4
