BARRIO,ACCIDENTES
EL MOCHUELO II,3
QUIBA I,3
CARMEN DEL SOL,3
EL PORTAL DEL BRASIL,3
LOS ALPES SUR,3
LA GRANJA NORTE,3
ENGATIVA EL DORADO,3
LA HORTUA,3
DESARROLLO BRAZUELOS I,3
CALLEJON SANTA BARBARA,3
ESPARTILLAL,3
PARAMO RURAL V,3
VILLA ISRAEL,3
EL BOSQUE,3
SAN CARLOS DE SUBA,3
MORAVIA,3
COMPARTIR,3
SAUCEDAL,3
PUERTO RICO,3
VILLA CANDELARIA,3
TTES DE COLOMBIA,3
ANTONIO JOSE DE SUCRE,3
SAN BLAS II,3
LA RESURRECCION,3
LA CAROLINA DE SUBA,3
LOURDES,3
SAN JOSE SUR ORIENTAL,3
EL PLAYON,3
RAMIREZ,3
QUINTAS DEL SUR,3
LA CITA,3
BELLAVISTA SUR,3
CANAVERALEJO,3
SANTA CATALINA,3
SAN BERNARDINO II,3
ALCAZARES NORTE,2
INGEMAR ORIENTAL I,2
SANTA MONICA,2
CHAPINERITO,2
ARBOLEDA SANTA TERESITA,2
NUEVA DELHI,2
LOS TRES REYES I,2
VILLA EMMA,2
LA TORRE,2
CASABLANCA SUBA,2
SERRANIAS,2
EL PEDREGAL,2
RAFAEL URIBE,2
LA MARICHUELA,2
LAS MANAS,2
DANUBIO II,2
ESPINO I,2
TIBABITA I,2
VILLA SAGRARIO,2
QUINDIO,2
LA REQUILINA,2
LA FISCALA,2
CATALINA II,2
SAN BERNARDINO XVIII,2
SANTA VIVIANA,2
USATAMA,2
EL PORVENIR DE LOS SOCHES,2
YOMASA NORTE,2
CENTRO USME URBANO,2
SAMPER MENDOZA,2
LA ESTRADITA,2
PARAMO I RURAL,2
BOLONIA,2
EL NUEVO PORTAL,2
CIUDAD LONDRES RURAL,2
DIANA TURBAY CULTIVOS,2
GUAYMARAL,2
VEREDA EL TINTAL RURAL,2
CORDILLERA DEL SUR,1
SAN BERNARDINO XXII URBANO,1
LA ESPERANZA DE USME,1
SAN BERNARDINO XXV URBANO,1
EL NEVADO II,1
CONEJERA,1
SIBERIA CENTRAL,1
SAN PEDRO SUR,1
SERRANIAS I,1
ARABIA,1
SAN GABRIEL NORTE II,1
CEDRO NARVAEZ,1
LA PEÑA RURAL,1
BOLIVIA ORIENTAL,1
LA VALVANERA,1
VILLAS EL DIAMANTE,1
TIBAQUE III,1
TIBABITA RURAL I,1
EL MOCHUELO III,1
LA MERCED,1
HOYA SAN CRISTOBAL,1
QUIBA BAJO,1
SIBERIA,1
YOMASA,1
TUNDAMA,1
LA GLORIA ORIENTAL,1
CHARCO URBANO,1
DUITAMA,1
SUMAPAZ,1
PARAMO IV,1
CHISACA,1
CORDOBA,1
SAN FELIPE DE USME,1
QUIBA,1
LAS GUACAMAYAS IV,1
LA RESURRECCION I,1
EL MIRADOR II,1
FISCALA ALTA,1
LA MARIA,1
BOSQUE DE LOS ALPES,1
EL GUAVIO,1
BELLA FLOR,1
LOS CEDROS ORIENTAL,1
BARRANCAS ORIENTAL RURAL,1
QUIRIGUA I,1
AREA ARTILLERIA,1
MIRADOR DEL NORTE,1
LOS SOCHES,1
ESCUELA DE CABALLERIA II,1
